Talvi;Havainto;Arvo;Arvon tyyppi;Lisätiedot;Valokuva;Havainnoijan status
1836-1837;Jäätyminen;27.11.1836;Päivämäärä;;;authority
1837-1838;Jäätyminen;13.12.1837;Päivämäärä;;;authority
1838-1839;Jäätyminen;8.12.1838;Päivämäärä;;;authority
1839-1840;Jäätyminen;3.12.1839;Päivämäärä;;;authority
1840-1841;Jäätyminen;23.11.1840;Päivämäärä;;;authority
1841-1842;Jäätyminen;31.12.1841;Päivämäärä;;;authority
1842-1843;Jäätyminen;24.11.1842;Päivämäärä;;;authority
1843-1844;Jäätyminen;17.12.1843;Päivämäärä;;;authority
1844-1845;Jäätyminen;3.12.1844;Päivämäärä;;;authority
1845-1846;Jäätyminen;17.12.1845;Päivämäärä;;;authority
1846-1847;Jäätyminen;13.12.1846;Päivämäärä;;;authority
1847-1848;Jäätyminen;3.1.1848;Päivämäärä;;;authority
1848-1849;Jäätyminen;18.12.1848;Päivämäärä;;;authority
1849-1850;Jäätyminen;7.12.1849;Päivämäärä;;;authority
1850-1851;Jäätyminen;10.12.1850;Päivämäärä;;;authority
1851-1852;Jäätyminen;27.12.1851;Päivämäärä;;;authority
1852-1853;Jäätyminen;12.11.1852;Päivämäärä;;;authority
1853-1854;Jäätyminen;29.12.1853;Päivämäärä;;;authority
1854-1855;Jäätyminen;24.12.1854;Päivämäärä;;;authority
1855-1856;Jäätyminen;2.12.1855;Päivämäärä;;;authority
1856-1857;Jäätyminen;24.11.1856;Päivämäärä;;;authority
1857-1858;Jäätyminen;27.12.1857;Päivämäärä;;;authority
1858-1859;Jäätyminen;19.11.1858;Päivämäärä;;;authority
1859-1860;Jäätyminen;16.12.1859;Päivämäärä;;;authority
1860-1861;Jäätyminen;5.12.1860;Päivämäärä;;;authority
1861-1862;Jäätyminen;17.12.1861;Päivämäärä;;;authority
1862-1863;Jäätyminen;14.12.1862;Päivämäärä;;;authority
1863-1864;Jäätyminen;28.12.1863;Päivämäärä;;;authority
1864-1865;Jäätyminen;21.11.1864;Päivämäärä;;;authority
1865-1866;Jäätyminen;6.12.1865;Päivämäärä;;;authority
1866-1867;Jäätyminen;11.12.1866;Päivämäärä;;;authority
1867-1868;Jäätyminen;30.11.1867;Päivämäärä;;;authority
1868-1869;Jäätyminen;29.11.1868;Päivämäärä;;;authority
1869-1870;Jäätyminen;24.12.1869;Päivämäärä;;;authority
1870-1871;Jäätyminen;1.12.1870;Päivämäärä;;;authority
1871-1872;Jäätyminen;1.12.1871;Päivämäärä;;;authority
1872-1873;Jäätyminen;18.12.1872;Päivämäärä;;;authority
1873-1874;Jäätyminen;12.12.1873;Päivämäärä;;;authority
1874-1875;Jäätyminen;12.12.1874;Päivämäärä;;;authority
1875-1876;Jäätyminen;26.11.1875;Päivämäärä;;;authority
1876-1877;Jäätyminen;20.11.1876;Päivämäärä;;;authority
1877-1878;Jäätyminen;6.1.1878;Päivämäärä;;;authority
1878-1879;Jäätyminen;20.12.1878;Päivämäärä;;;authority
1879-1880;Jäätyminen;25.11.1879;Päivämäärä;;;authority
1880-1881;Jäätyminen;2.12.1880;Päivämäärä;;;authority
1881-1882;Jäätyminen;23.12.1881;Päivämäärä;;;authority
1882-1883;Jäätyminen;18.12.1882;Päivämäärä;;;authority
1883-1884;Jäätyminen;9.12.1883;Päivämäärä;;;authority
1884-1885;Jäätyminen;21.11.1884;Päivämäärä;;;authority
1885-1886;Jäätyminen;20.11.1885;Päivämäärä;;;authority
1886-1887;Jäätyminen;20.12.1886;Päivämäärä;;;authority
1887-1888;Jäätyminen;15.12.1887;Päivämäärä;;;authority
1888-1889;Jäätyminen;15.12.1888;Päivämäärä;;;authority
1889-1890;Jäätyminen;20.12.1889;Päivämäärä;;;authority
1890-1891;Jäätyminen;24.11.1890;Päivämäärä;;;authority
1891-1892;Jäätyminen;25.10.1891;Päivämäärä;;;authority
1892-1893;Jäätyminen;15.12.1892;Päivämäärä;;;authority
1893-1894;Jäätyminen;4.12.1893;Päivämäärä;;;authority
1894-1895;Jäätyminen;22.12.1894;Päivämäärä;;;authority
1895-1896;Jäätyminen;20.11.1895;Päivämäärä;;;authority
1896-1897;Jäätyminen;10.12.1896;Päivämäärä;;;authority
1897-1898;Jäätyminen;30.11.1897;Päivämäärä;;;authority
1898-1899;Jäätyminen;11.12.1898;Päivämäärä;;;authority
1899-1900;Jäätyminen;2.12.1899;Päivämäärä;;;authority
1900-1901;Jäätyminen;26.12.1900;Päivämäärä;;;authority
1901-1902;Jäätyminen;21.11.1901;Päivämäärä;;;authority
1902-1903;Jäätyminen;25.11.1902;Päivämäärä;;;authority
1903-1904;Jäätyminen;15.12.1903;Päivämäärä;;;authority
1904-1905;Jäätyminen;20.11.1904;Päivämäärä;;;authority
1905-1906;Jäätyminen;18.12.1905;Päivämäärä;;;authority
1906-1907;Jäätyminen;13.12.1906;Päivämäärä;;;authority
1907-1908;Jäätyminen;12.12.1907;Päivämäärä;;;authority
1908-1909;Jäätyminen;25.12.1908;Päivämäärä;;;authority
1909-1910;Jäätyminen;29.11.1909;Päivämäärä;;;authority
1910-1911;Jäätyminen;7.11.1910;Päivämäärä;;;authority
1911-1912;Jäätyminen;4.1.1912;Päivämäärä;;;authority
1912-1913;Jäätyminen;14.12.1912;Päivämäärä;;;authority
1913-1914;Jäätyminen;14.12.1913;Päivämäärä;;;authority
1914-1915;Jäätyminen;2.1.1915;Päivämäärä;;;authority
1915-1916;Jäätyminen;26.11.1915;Päivämäärä;;;authority
1916-1917;Jäätyminen;20.12.1916;Päivämäärä;;;authority
1917-1918;Jäätyminen;16.12.1917;Päivämäärä;;;authority
